rs,train_acc,val_acc,test_acc,best_probe,config,layer
0,0.521428571,0.5,0.4,LogReg,Full,0
0,0.521428571,0.433333333,0.466666667,LogReg,Nonzero,0
0,0.485714286,0.566666667,0.5,MLP-10,ZeroMI,0
1,0.55,0.5,0.266666667,LogReg,Full,0
1,0.492857143,0.533333333,0.5,MLP-10,Nonzero,0
1,0.514285714,0.466666667,0.466666667,LogReg,ZeroMI,0
2,0.492857143,0.533333333,0.5,MLP-20,Full,0
2,0.514285714,0.5,0.433333333,LogReg,Nonzero,0
2,0.507142857,0.5,0.466666667,LogReg,ZeroMI,0
31,0.507142857,0.533333333,0.433333333,LogReg,Full,0
31,0.528571429,0.5,0.366666667,LogReg,Nonzero,0
31,0.535714286,0.366666667,0.466666667,LogReg,ZeroMI,0
32767,0.492857143,0.533333333,0.5,MLP-10,Full,0
32767,0.507142857,0.533333333,0.433333333,LogReg,Nonzero,0
32767,0.492857143,0.533333333,0.5,MLP-20,ZeroMI,0
0,0.778571429,0.633333333,0.533333333,MLP-10,Full,1
0,0.792857143,0.733333333,0.733333333,MLP-20,Nonzero,1
0,0.728571429,0.7,0.733333333,MLP-10,ZeroMI,1
1,0.842857143,0.833333333,0.666666667,MLP-20,Full,1
1,0.814285714,0.566666667,0.7,MLP-20,Nonzero,1
1,0.792857143,0.7,0.5,MLP-20,ZeroMI,1
2,0.871428571,0.633333333,0.733333333,MLP-10,Full,1
2,0.8,0.7,0.7,MLP-10,Nonzero,1
2,0.621428571,0.533333333,0.366666667,LogReg,ZeroMI,1
31,0.821428571,0.9,0.833333333,MLP-10,Full,1
31,0.871428571,0.733333333,0.766666667,MLP-20,Nonzero,1
31,0.757142857,0.8,0.8,LogReg,ZeroMI,1
32767,0.771428571,0.6,0.633333333,LogReg,Full,1
32767,0.521428571,0.633333333,0.533333333,MLP-20,Nonzero,1
32767,0.821428571,0.566666667,0.666666667,MLP-20,ZeroMI,1
0,0.714285714,0.733333333,0.566666667,LogReg,Full,2
0,0.707142857,0.8,0.7,MLP-10,Nonzero,2
0,0.692857143,0.7,0.7,MLP-20,ZeroMI,2
1,0.728571429,0.7,0.7,MLP-20,Full,2
1,0.757142857,0.533333333,0.7,MLP-10,Nonzero,2
1,0.542857143,0.333333333,0.466666667,LogReg,ZeroMI,2
2,0.735714286,0.766666667,0.566666667,MLP-10,Full,2
2,0.75,0.6,0.566666667,MLP-20,Nonzero,2
2,0.764285714,0.533333333,0.566666667,MLP-20,ZeroMI,2
31,0.685714286,0.7,0.633333333,LogReg,Full,2
31,0.778571429,0.766666667,0.533333333,MLP-10,Nonzero,2
31,0.55,0.433333333,0.333333333,LogReg,ZeroMI,2
32767,0.771428571,0.666666667,0.6,MLP-20,Full,2
32767,0.678571429,0.633333333,0.6,MLP-10,Nonzero,2
32767,0.671428571,0.6,0.666666667,MLP-10,ZeroMI,2
0,0.678571429,0.733333333,0.6,LogReg,Full,3
0,0.664285714,0.633333333,0.666666667,LogReg,Nonzero,3
0,0.514285714,0.5,0.433333333,MLP-20,ZeroMI,3
1,0.471428571,0.6,0.533333333,MLP-10,Full,3
1,0.628571429,0.6,0.533333333,LogReg,Nonzero,3
1,0.5,0.566666667,0.433333333,MLP-20,ZeroMI,3
2,0.55,0.533333333,0.4,LogReg,Full,3
2,0.721428571,0.666666667,0.6,MLP-20,Nonzero,3
2,0.785714286,0.666666667,0.633333333,MLP-20,ZeroMI,3
31,0.771428571,0.866666667,0.766666667,MLP-20,Full,3
31,0.585714286,0.7,0.633333333,LogReg,Nonzero,3
31,0.485714286,0.633333333,0.433333333,MLP-10,ZeroMI,3
32767,0.635714286,0.8,0.6,LogReg,Full,3
32767,0.628571429,0.633333333,0.666666667,LogReg,Nonzero,3
32767,0.714285714,0.733333333,0.5,MLP-20,ZeroMI,3
0,0.7,0.666666667,0.5,MLP-20,Full,4
0,0.664285714,0.5,0.666666667,LogReg,Nonzero,4
0,0.65,0.666666667,0.533333333,MLP-10,ZeroMI,4
1,0.628571429,0.666666667,0.466666667,LogReg,Full,4
1,0.485714286,0.566666667,0.5,MLP-10,Nonzero,4
1,0.478571429,0.533333333,0.566666667,MLP-10,ZeroMI,4
2,0.664285714,0.433333333,0.4,MLP-20,Full,4
2,0.514285714,0.533333333,0.4,LogReg,Nonzero,4
2,0.471428571,0.4,0.4,MLP-10,ZeroMI,4
31,0.607142857,0.6,0.7,MLP-10,Full,4
31,0.671428571,0.6,0.5,LogReg,Nonzero,4
31,0.635714286,0.566666667,0.533333333,LogReg,ZeroMI,4
32767,0.635714286,0.666666667,0.566666667,MLP-10,Full,4
32767,0.714285714,0.533333333,0.666666667,MLP-10,Nonzero,4
32767,0.578571429,0.766666667,0.533333333,LogReg,ZeroMI,4
0,0.821428571,0.8,0.566666667,MLP-10,Full,5
0,0.757142857,0.8,0.666666667,LogReg,Nonzero,5
0,0.642857143,0.533333333,0.5,LogReg,ZeroMI,5
1,0.878571429,0.6,0.566666667,MLP-20,Full,5
1,0.828571429,0.633333333,0.8,MLP-20,Nonzero,5
1,0.628571429,0.533333333,0.5,LogReg,ZeroMI,5
2,0.757142857,0.7,0.733333333,MLP-10,Full,5
2,0.764285714,0.7,0.666666667,LogReg,Nonzero,5
2,0.507142857,0.5,0.466666667,MLP-10,ZeroMI,5
31,0.785714286,0.7,0.733333333,MLP-20,Full,5
31,0.857142857,0.666666667,0.8,MLP-20,Nonzero,5
31,0.785714286,0.733333333,0.766666667,MLP-10,ZeroMI,5
32767,0.721428571,0.6,0.666666667,MLP-10,Full,5
32767,0.471428571,0.533333333,0.6,MLP-20,Nonzero,5
32767,0.6,0.4,0.366666667,LogReg,ZeroMI,5
0,0.785714286,0.666666667,0.766666667,MLP-10,Full,6
0,0.771428571,0.733333333,0.533333333,LogReg,Nonzero,6
0,0.757142857,0.7,0.733333333,MLP-20,ZeroMI,6
1,0.735714286,0.6,0.733333333,LogReg,Full,6
1,0.471428571,0.6,0.533333333,MLP-20,Nonzero,6
1,0.757142857,0.566666667,0.566666667,MLP-10,ZeroMI,6
2,0.8,0.666666667,0.8,MLP-10,Full,6
2,0.828571429,0.7,0.666666667,MLP-20,Nonzero,6
2,0.607142857,0.566666667,0.433333333,LogReg,ZeroMI,6
31,0.707142857,0.666666667,0.633333333,LogReg,Full,6
31,0.778571429,0.766666667,0.8,MLP-10,Nonzero,6
31,0.757142857,0.533333333,0.6,MLP-20,ZeroMI,6
32767,0.792857143,0.633333333,0.633333333,MLP-20,Full,6
32767,0.685714286,0.6,0.766666667,LogReg,Nonzero,6
32767,0.8,0.566666667,0.7,MLP-20,ZeroMI,6
0,0.771428571,0.633333333,0.7,MLP-20,Full,7
0,0.7,0.7,0.633333333,LogReg,Nonzero,7
0,0.607142857,0.766666667,0.566666667,LogReg,ZeroMI,7
1,0.778571429,0.766666667,0.666666667,MLP-10,Full,7
1,0.757142857,0.566666667,0.6,MLP-10,Nonzero,7
1,0.671428571,0.666666667,0.5,MLP-20,ZeroMI,7
2,0.757142857,0.466666667,0.4,MLP-10,Full,7
2,0.792857143,0.666666667,0.666666667,MLP-20,Nonzero,7
2,0.707142857,0.6,0.5,MLP-20,ZeroMI,7
31,0.75,0.766666667,0.666666667,MLP-10,Full,7
31,0.75,0.6,0.733333333,MLP-10,Nonzero,7
31,0.664285714,0.5,0.5,LogReg,ZeroMI,7
32767,0.678571429,0.7,0.6,MLP-10,Full,7
32767,0.721428571,0.8,0.7,MLP-20,Nonzero,7
32767,0.542857143,0.466666667,0.566666667,MLP-10,ZeroMI,7
0,0.735714286,0.733333333,0.666666667,LogReg,Full,8
0,0.742857143,0.7,0.6,MLP-10,Nonzero,8
0,0.685714286,0.566666667,0.5,LogReg,ZeroMI,8
1,0.75,0.6,0.7,MLP-20,Full,8
1,0.678571429,0.666666667,0.5,MLP-10,Nonzero,8
1,0.592857143,0.4,0.5,LogReg,ZeroMI,8
2,0.714285714,0.566666667,0.7,LogReg,Full,8
2,0.535714286,0.433333333,0.533333333,MLP-10,Nonzero,8
2,0.478571429,0.633333333,0.466666667,MLP-10,ZeroMI,8
31,0.757142857,0.7,0.766666667,MLP-20,Full,8
31,0.742857143,0.666666667,0.533333333,MLP-20,Nonzero,8
31,0.478571429,0.566666667,0.533333333,MLP-20,ZeroMI,8
32767,0.657142857,0.6,0.6,LogReg,Full,8
32767,0.707142857,0.533333333,0.666666667,MLP-20,Nonzero,8
32767,0.657142857,0.5,0.7,LogReg,ZeroMI,8
0,0.628571429,0.666666667,0.533333333,LogReg,Full,9
0,0.735714286,0.666666667,0.766666667,LogReg,Nonzero,9
0,0.635714286,0.6,0.633333333,LogReg,ZeroMI,9
1,0.728571429,0.7,0.433333333,MLP-10,Full,9
1,0.7,0.6,0.633333333,MLP-10,Nonzero,9
1,0.778571429,0.666666667,0.533333333,MLP-20,ZeroMI,9
2,0.485714286,0.566666667,0.5,MLP-20,Full,9
2,0.792857143,0.666666667,0.7,MLP-10,Nonzero,9
2,0.642857143,0.533333333,0.466666667,LogReg,ZeroMI,9
31,0.771428571,0.666666667,0.666666667,MLP-20,Full,9
31,0.457142857,0.666666667,0.533333333,MLP-10,Nonzero,9
31,0.642857143,0.7,0.5,MLP-10,ZeroMI,9
32767,0.678571429,0.6,0.666666667,LogReg,Full,9
32767,0.65,0.5,0.566666667,LogReg,Nonzero,9
32767,0.7,0.533333333,0.5,MLP-10,ZeroMI,9
0,0.75,0.8,0.7,MLP-20,Full,10
0,0.828571429,0.666666667,0.9,MLP-20,Nonzero,10
0,0.5,0.533333333,0.466666667,MLP-10,ZeroMI,10
1,0.892857143,0.766666667,0.8,MLP-10,Full,10
1,0.778571429,0.633333333,0.866666667,MLP-20,Nonzero,10
1,0.764285714,0.733333333,0.533333333,MLP-20,ZeroMI,10
2,0.864285714,0.8,0.8,MLP-10,Full,10
2,0.778571429,0.733333333,0.666666667,LogReg,Nonzero,10
2,0.542857143,0.433333333,0.466666667,LogReg,ZeroMI,10
31,0.735714286,0.7,0.733333333,LogReg,Full,10
31,0.75,0.666666667,0.9,LogReg,Nonzero,10
31,0.771428571,0.6,0.8,MLP-10,ZeroMI,10
32767,0.671428571,0.7,0.7,MLP-10,Full,10
32767,0.757142857,0.733333333,0.566666667,MLP-20,Nonzero,10
32767,0.678571429,0.6,0.733333333,LogReg,ZeroMI,10
0,0.757142857,0.766666667,0.7,MLP-20,Full,11
0,0.792857143,0.733333333,0.766666667,MLP-20,Nonzero,11
0,0.778571429,0.833333333,0.566666667,LogReg,ZeroMI,11
1,0.842857143,0.7,0.566666667,LogReg,Full,11
1,0.8,0.733333333,0.7,MLP-10,Nonzero,11
1,0.842857143,0.666666667,0.666666667,MLP-20,ZeroMI,11
2,0.921428571,0.733333333,0.8,MLP-10,Full,11
2,0.821428571,0.7,0.733333333,MLP-10,Nonzero,11
2,0.878571429,0.7,0.733333333,MLP-20,ZeroMI,11
31,0.757142857,0.633333333,0.666666667,LogReg,Full,11
31,0.821428571,0.733333333,0.733333333,MLP-10,Nonzero,11
31,0.835714286,0.7,0.633333333,MLP-20,ZeroMI,11
32767,0.742857143,0.7,0.733333333,LogReg,Full,11
32767,0.692857143,0.733333333,0.733333333,LogReg,Nonzero,11
32767,0.614285714,0.6,0.333333333,LogReg,ZeroMI,11
0,0.907142857,0.933333333,0.8,LogReg,Full,12
0,0.892857143,0.866666667,0.833333333,LogReg,Nonzero,12
0,0.785714286,0.633333333,0.733333333,LogReg,ZeroMI,12
1,0.907142857,0.933333333,0.833333333,MLP-10,Full,12
1,0.835714286,0.833333333,0.8,LogReg,Nonzero,12
1,0.871428571,0.633333333,0.633333333,MLP-10,ZeroMI,12
2,0.914285714,0.9,0.966666667,LogReg,Full,12
2,0.921428571,0.933333333,0.866666667,MLP-10,Nonzero,12
2,0.914285714,0.8,0.733333333,MLP-10,ZeroMI,12
31,0.85,0.9,0.766666667,LogReg,Full,12
31,0.9,0.8,0.766666667,MLP-20,Nonzero,12
31,0.835714286,0.833333333,0.633333333,MLP-10,ZeroMI,12
32767,0.871428571,0.933333333,0.833333333,MLP-20,Full,12
32767,0.857142857,0.8,0.8,LogReg,Nonzero,12
32767,0.828571429,0.733333333,0.833333333,LogReg,ZeroMI,12